;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;3013;2019;3;15;16;1;7821;1261399319993472;35;11.0;76;7832;0;1;4;1
1;3014;2019;3;18;16;0;7821;1261399319993472;35;11.0;76;7832;0;1;0;1
2;3020;2019;3;27;16;0;7821;1261399319993472;35;11.0;76;7832;0;1;2;1
3;8826;2019;3;1;15;5;7815;1262481250013568;35;11.0;200;7832;0;0;4;1
4;20494;2019;3;26;6;5;7894;1264828178909824;35;12.0;85;7757;0;1;1;1
5;26702;2019;3;1;7;2;7733;1266031312328576;35;12.0;76;7757;0;0;4;1
6;26703;2019;3;12;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;1;1
7;26704;2019;3;13;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;2;1
8;26705;2019;3;14;7;1;7733;1266031312328576;35;12.0;76;7747;0;1;3;1
9;26706;2019;3;15;7;1;7733;1266031312328576;35;12.0;76;7757;0;1;4;1
10;26707;2019;3;18;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;0;1
11;26708;2019;3;19;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;1;1
12;26709;2019;3;21;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;3;1
13;26710;2019;3;22;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;4;1
14;26711;2019;3;25;7;1;7733;1266031312328576;35;12.0;76;7757;0;1;0;1
15;26712;2019;3;26;7;1;7733;1266031312328576;35;12.0;76;7757;0;1;1;1
16;26713;2019;3;27;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;2;1
17;26714;2019;3;28;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;3;1
18;26715;2019;3;29;7;2;7733;1266031312328576;35;12.0;76;7757;0;1;4;1
19;52827;2019;3;12;8;1;2247;1271413835980160;35;11.0;77;2247;0;1;1;1
20;52830;2019;3;14;8;1;2247;1271413835980160;35;11.0;77;2247;0;1;3;1
21;54012;2019;3;19;16;1;7826;1272387319189120;35;11.0;200;7832;0;1;1;1
22;82873;2019;3;19;9;2;7811;1281235889052544;35;11.0;77;7832;0;1;1;1
23;82877;2019;3;21;6;1;7255;1281235889052544;35;12.0;77;7810;0;1;3;1
24;82879;2019;3;25;6;1;7255;1281235889052544;35;12.0;77;7810;0;1;0;1
25;82880;2019;3;25;9;2;7811;1281235889052544;35;11.0;77;7832;0;1;0;1
26;82885;2019;3;30;6;1;7255;1281235889052544;35;12.0;77;7810;0;1;5;1
27;110303;2019;3;13;16;0;7745;1229663949899904;35;62.0;76;7757;0;1;2;1
28;110304;2019;3;26;16;0;7745;1229663949899904;35;62.0;76;7757;0;1;1;1
29;112266;2019;3;31;15;5;7746;1230400656334208;35;12.0;77;7757;0;1;6;1
30;123685;2019;3;11;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;0;1
31;123687;2019;3;13;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;2;1
32;124712;2019;3;18;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;0;1
33;125016;2019;3;20;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;2;1
34;125017;2019;3;25;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;0;1
35;125018;2019;3;27;6;5;7891;1298850094405248;35;12.0;76;7757;0;1;2;1
36;158470;2019;9;13;6;1;7759;1154917411478912;35;61.0;77;7772;0;1;4;3
37;166798;2018;12;3;7;4;7746;1136013517606528;35;12.0;200;7757;0;1;0;4
38;187300;2019;3;12;7;3;7818;1163365612150144;35;61.0;76;7832;0;1;1;1
39;187301;2019;3;13;7;4;7818;1163365612150144;35;61.0;76;7832;0;1;2;1
40;187302;2019;3;14;7;3;7818;1163365612150144;35;61.0;76;7832;0;1;3;1
41;187303;2019;3;18;7;4;7819;1163365612150144;35;61.0;76;7832;0;1;0;1
42;187304;2019;3;19;7;4;7819;1163365612150144;35;61.0;76;7832;0;1;1;1
43;187305;2019;3;20;7;4;7819;1163365612150144;35;61.0;76;7832;0;1;2;1
44;187306;2019;3;21;7;4;7819;1163365612150144;35;61.0;76;7832;0;1;3;1
45;190680;2019;3;12;15;5;7739;1163570161995392;35;62.0;84;7757;0;1;1;1
46;216486;2019;3;12;7;4;7824;1171229301954176;35;61.0;76;7832;0;1;1;1
47;216487;2019;3;13;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;2;1
48;216488;2019;3;14;7;4;7824;1171229301954176;35;61.0;76;7832;0;1;3;1
49;216489;2019;3;18;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;0;1
50;216490;2019;3;19;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;1;1
51;216491;2019;3;21;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;3;1
52;216492;2019;3;22;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;4;1
53;216493;2019;3;25;7;4;7825;1171229301954176;35;11.0;76;7832;0;1;0;1
54;216494;2019;3;27;7;5;7824;1171229301954176;35;61.0;76;7832;0;1;2;1
55;216495;2019;3;28;7;4;7824;1171229301954176;35;61.0;76;7832;0;1;3;1
56;229669;2019;3;11;7;2;7739;1173685218329728;35;12.0;76;7757;0;1;0;1
57;229670;2019;3;11;14;4;2247;1173685218329728;35;11.0;76;7777;0;1;0;1
58;229671;2019;3;11;15;4;7739;1173685218329728;35;62.0;76;7757;0;1;0;1
59;229672;2019;3;12;7;2;7739;1173685218329728;35;12.0;76;7757;0;1;1;1
60;229673;2019;3;13;16;0;7739;1173685218329728;35;62.0;76;7757;0;1;2;1
61;229675;2019;3;14;14;4;2247;1173685218329728;35;11.0;76;7777;0;1;3;1
62;229676;2019;3;19;7;3;7739;1173685218329728;35;12.0;76;7757;0;1;1;1
63;229677;2019;3;21;7;3;7739;1173685218329728;35;12.0;76;7757;0;1;3;1
64;229678;2019;3;21;14;4;2247;1173685218329728;35;11.0;76;7777;0;1;3;1
65;229679;2019;3;26;7;2;7739;1173685218329728;35;12.0;76;7757;0;1;1;1
66;229680;2019;3;27;14;4;2247;1173685218329728;35;11.0;76;7777;0;1;2;1
67;229681;2019;3;28;7;2;7739;1173685218329728;35;12.0;76;7757;0;1;3;1
68;229682;2019;3;28;14;4;2247;1173685218329728;35;11.0;76;7777;0;1;3;1
69;232322;2019;3;1;7;2;7735;1174496424578688;35;12.0;85;7757;0;0;4;1
70;232323;2019;3;14;7;2;7736;1174496424578688;35;12.0;85;7757;0;1;3;1
