;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;2706;2019;3;2;9;1;4847;1261323485596288;380;71.0;84;4189;0;1;5;1
1;3538;2019;3;7;17;5;4968;1261463742339712;380;12.0;200;4968;0;0;3;1
2;3539;2019;3;7;17;5;4968;1261463742339712;380;12.0;200;4968;0;0;3;1
3;7404;2019;3;1;20;4;4009;1211855804980608;380;12.0;200;4009;0;0;4;1
4;8775;2019;3;4;7;2;4811;1262504465223296;380;82.0;84;4817;0;1;0;1
5;9233;2019;3;23;8;2;4811;1262504465223296;380;12.0;84;4051;0;1;5;1
6;9234;2019;3;29;6;4;4811;1262504465223296;380;22.0;84;4817;0;1;4;1
7;13493;2019;3;4;15;2;4891;1263629610143360;380;11.0;200;4189;0;1;0;1
8;13772;2019;3;26;18;1;4160;1213013691289216;380;22.0;84;4160;0;1;1;1
9;13773;2019;3;26;18;1;4160;1213013691289216;380;22.0;84;4160;0;1;1;1
10;13774;2019;3;27;8;4;4846;1213013691289216;380;12.0;84;4828;0;1;2;1
11;13775;2019;3;30;12;4;4009;1213013691289216;380;12.0;84;4826;0;1;5;1
12;20498;2019;3;1;7;2;4894;1264844549736576;380;11.0;76;4189;0;0;4;1
13;20499;2019;3;12;7;2;4894;1264844549736576;380;11.0;76;4189;0;1;1;1
14;20500;2019;3;13;7;2;4894;1264844549736576;380;11.0;76;4189;0;1;2;1
15;20501;2019;3;14;7;2;4894;1264844549736576;380;11.0;76;4189;0;1;3;1
16;20502;2019;3;18;7;3;4894;1264844549736576;380;11.0;76;4189;0;1;0;1
17;20503;2019;3;18;14;0;4160;1264844549736576;380;12.0;76;4813;0;1;0;1
18;20504;2019;3;19;7;3;4894;1264844549736576;380;11.0;76;4189;0;1;1;1
19;20505;2019;3;19;14;0;4160;1264844549736576;380;12.0;76;4009;0;1;1;1
20;20506;2019;3;20;7;3;4894;1264844549736576;380;11.0;76;4189;0;1;2;1
