;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;3243553;2018;11;21;5;3;1343;1292238123321984;57;422.0;200;2692;0;1;2;4
1;3857335;2018;12;19;5;2;1343;1292238123321984;57;422.0;200;2692;0;1;2;4
2;5760345;2019;4;23;5;2;1343;1292238123321984;57;422.0;200;2692;0;1;1;2
3;6572819;2019;6;21;5;3;1343;1292238123321984;57;421.0;200;1345;0;1;4;2
4;6709077;2019;6;27;12;0;1268;1207846847793792;57;421.0;85;1905;1;0;3;2
5;6845884;2019;7;13;7;5;1245;1207846847793792;57;421.0;85;1908;1;0;5;3
6;7583159;2019;7;3;13;2;1268;1207846847793792;57;421.0;85;1908;1;1;2;3
7;8145885;2019;2;1;5;3;1343;1292238123321984;57;421.0;200;2447;0;0;4;1
8;8228288;2019;2;5;5;3;1343;1292238123321984;57;421.0;200;2692;1;1;1;1
9;8738919;2019;3;14;5;2;1343;1292238123321984;57;422.0;200;2692;0;1;3;1
10;8742955;2019;3;15;5;3;1343;1292238123321984;57;421.0;200;2692;0;1;4;1
11;8818776;2019;3;19;10;3;2625;1207846847793792;57;421.0;85;2692;0;1;1;1
12;9077953;2018;12;27;5;2;1343;1292238123321984;57;422.0;200;2692;0;0;3;4
13;9084770;2018;12;5;5;3;1343;1292238123321984;57;421.0;200;2692;1;1;2;4
14;10048906;2019;2;14;8;3;1268;1207846847793792;57;421.0;85;1910;0;1;3;1
15;10311776;2019;3;13;5;3;1343;1292238123321984;57;422.0;200;2692;0;1;2;1
16;10340155;2019;6;18;5;3;1343;1292238123321984;57;422.0;200;2409;0;1;1;2
17;10451822;2019;2;20;5;2;1343;1292238123321984;57;421.0;200;2692;0;1;2;1
18;10466614;2019;2;21;5;3;1343;1292238123321984;57;421.0;200;2692;0;1;3;1
19;10541130;2019;7;4;9;0;1268;1207846847793792;57;421.0;85;1909;0;1;3;3
20;10665171;2019;2;8;5;2;1343;1292238123321984;57;422.0;200;2692;0;0;4;1
21;11063027;2019;7;15;16;3;1268;1207846847793792;57;421.0;85;1911;0;0;0;3
22;11163530;2019;7;24;5;3;1343;1292238123321984;57;422.0;200;2163;0;0;2;3
23;11604079;2019;5;17;16;0;1268;1207846847793792;57;421.0;85;1909;1;1;4;2
24;11721599;2019;4;12;17;3;1268;1207846847793792;57;421.0;85;1910;0;1;4;2
25;11875404;2019;4;30;5;2;1343;1292238123321984;57;421.0;200;2692;1;1;1;2
26;11978524;2019;5;2;12;0;1268;1207846847793792;57;421.0;85;1909;0;1;3;2
27;11992045;2019;5;8;9;1;1268;1207846847793792;57;421.0;85;1905;0;0;2;2
28;12026087;2019;5;5;17;0;1247;1207846847793792;57;421.0;85;1906;1;1;6;2
29;12514604;2019;6;3;10;0;1268;1207846847793792;57;421.0;85;1908;1;1;0;2
30;12677994;2019;5;29;18;4;1905;1207846847793792;57;421.0;85;1908;0;1;2;2
31;12681964;2019;7;6;15;5;1949;1207846847793792;57;421.0;85;1268;0;1;5;3
32;12876553;2019;7;26;5;3;1343;1292238123321984;57;421.0;200;1346;0;0;4;3
33;13005794;2019;6;24;5;4;2625;1207846847793792;57;421.0;85;1246;0;0;0;2
34;13413516;2019;8;25;11;5;1245;1207846847793792;57;421.0;85;1268;1;0;6;3
