;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;45640;2019;3;12;7;4;7190;1270338754006656;32;82.0;76;7757;0;1;1;1
1;45641;2019;3;13;7;4;7190;1270338754006656;32;82.0;76;7757;0;1;2;1
2;45642;2019;3;14;7;4;7190;1270338754006656;32;82.0;76;7757;0;1;3;1
3;89869;2019;3;12;7;2;7786;1283344323331200;32;82.0;76;7559;0;1;1;1
4;89870;2019;3;13;7;2;7786;1283344323331200;32;82.0;76;7559;0;1;2;1
5;89871;2019;3;14;7;2;7786;1283344323331200;32;82.0;76;7559;0;1;3;1
6;107000;2019;3;12;7;2;7786;1289922998846592;32;82.0;23;7757;0;1;1;1
7;107001;2019;3;13;7;2;7786;1289922998846592;32;82.0;23;7757;0;1;2;1
8;113025;2019;3;12;7;4;7191;1291243307292544;32;82.0;76;7757;0;1;1;1
9;113026;2019;3;13;7;4;7191;1291243307292544;32;82.0;76;7757;0;1;2;1
10;113027;2019;3;14;7;4;7191;1291243307292544;32;82.0;76;7757;0;1;3;1
11;155213;2019;5;6;7;4;7190;1175578219466368;32;82.0;76;7757;0;1;0;2
12;155214;2019;5;7;7;4;7190;1175578219466368;32;82.0;76;7757;0;0;1;2
13;155215;2019;5;10;7;4;7190;1175578219466368;32;82.0;76;7757;0;1;4;2
14;155216;2019;5;14;7;3;7551;1175578219466368;32;82.0;76;7757;0;1;1;2
15;156529;2019;4;25;7;5;8007;1199888271232640;32;82.0;76;7757;0;1;3;2
16;156532;2019;4;30;7;5;8007;1199888271232640;32;82.0;76;7559;1;1;1;2
17;163304;2018;12;11;7;3;7189;1134971720981120;32;82.0;76;7757;0;1;1;4
18;182658;2019;3;14;7;2;7545;1160481409420928;32;82.0;200;7757;0;1;3;1
19;237000;2019;3;12;7;4;7190;1175578219466368;32;82.0;76;7757;0;1;1;1
20;237001;2019;3;13;7;4;7190;1175578219466368;32;82.0;76;7757;0;1;2;1
21;244694;2019;3;26;16;0;7192;1176858121882240;32;72.0;76;7192;0;1;1;1
22;276258;2019;3;11;16;0;7192;1184238757893760;32;72.0;76;7757;0;1;0;1
23;277481;2019;3;12;7;3;7551;1184433649305728;32;82.0;76;7757;0;1;1;1
24;277482;2019;3;13;7;3;7189;1184433649305728;32;82.0;76;7757;0;1;2;1
25;278191;2019;3;12;15;2;7731;1184507319963264;32;11.0;200;7538;0;1;1;1
26;334366;2019;3;11;15;2;7731;1195700141248128;32;11.0;76;7538;0;1;0;1
27;412490;2019;3;12;7;4;7192;1209740391500416;32;82.0;76;7757;0;1;1;1
28;412491;2019;3;12;14;4;2247;1209740391500416;32;11.0;76;7123;0;1;1;1
29;412492;2019;3;13;7;4;7192;1209740391500416;32;82.0;76;7757;0;1;2;1
30;412493;2019;3;14;7;4;7192;1209740391500416;32;82.0;76;7757;0;1;3;1
31;593511;2019;3;12;7;1;7543;1242512602843264;32;82.0;23;7757;0;1;1;1
32;593512;2019;3;13;7;1;7543;1242512602843264;32;82.0;23;7757;0;1;2;1
33;593513;2019;3;14;7;1;7543;1242512602843264;32;82.0;23;7757;0;1;3;1
34;620689;2019;3;13;7;2;7546;1248081965043328;32;82.0;76;7757;0;1;2;1
35;632928;2019;3;12;15;5;7189;1250296294430336;32;12.0;76;7756;0;1;1;1
36;640925;2019;3;12;7;4;7190;1252424716012160;32;82.0;76;7757;0;1;1;1
37;642037;2019;3;26;14;5;2247;1252598267403648;32;11.0;76;7123;0;1;1;1
38;642349;2019;3;11;14;5;2247;1252598267403648;32;11.0;76;7123;0;1;0;1
39;642350;2019;3;12;14;4;2247;1252598267403648;32;11.0;76;7123;0;1;1;1
40;658543;2019;3;14;8;2;7759;1255855992228480;32;91.0;76;7537;0;1;3;1
41;662822;2019;3;11;14;5;2247;1206544935832192;32;11.0;76;7124;0;1;0;1
42;662823;2019;3;11;16;0;7191;1206544935832192;32;72.0;76;7757;0;1;0;1
43;662824;2019;3;12;7;4;7191;1206544935832192;32;82.0;76;7757;0;1;1;1
44;662825;2019;3;13;7;4;7191;1206544935832192;32;82.0;76;7757;0;1;2;1
45;662826;2019;3;14;7;4;7191;1206544935832192;32;82.0;76;7757;0;1;3;1
46;662827;2019;3;14;14;5;2247;1206544935832192;32;11.0;76;7124;0;1;3;1
47;683281;2018;12;4;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;1;4
48;683283;2018;12;11;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;1;4
49;683284;2018;12;20;7;2;7543;1139570826692736;32;82.0;23;7559;0;1;3;4
50;684113;2018;12;19;14;4;2247;1140459351327872;32;11.0;200;7123;0;1;2;4
51;707507;2018;12;20;7;3;7786;1149246314007168;32;82.0;76;7757;0;1;3;4
52;707839;2018;12;4;7;2;7786;1149246314007168;32;82.0;76;7757;0;1;1;4
53;707840;2018;12;11;7;2;7786;1149246314007168;32;82.0;76;7757;0;1;1;4
54;792095;2018;12;20;7;5;7191;1171572899337856;32;82.0;200;7757;0;1;3;4
55;798671;2019;9;12;7;4;7192;1209740391500416;32;82.0;76;7757;0;1;3;3
56;819521;2019;4;22;7;3;7189;1134971720981120;32;82.0;76;7089;0;1;0;2
57;819522;2019;4;24;7;3;7189;1134971720981120;32;82.0;76;7757;0;1;2;2
58;819523;2019;4;25;7;4;7189;1134971720981120;32;82.0;76;7757;0;1;3;2
59;819524;2019;4;26;7;3;7189;1134971720981120;32;82.0;76;7089;0;1;4;2
60;830643;2019;4;26;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;4;2
61;830644;2019;4;29;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;0;2
62;830645;2019;4;30;7;1;7543;1139570826692736;32;82.0;23;7558;1;1;1;2
63;832411;2019;4;22;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;0;2
64;832412;2019;4;23;7;1;7543;1139570826692736;32;82.0;23;7559;0;1;1;2
65;853551;2019;4;24;15;5;7189;1148263306904704;32;72.0;200;7757;0;1;2;2
66;853552;2019;4;30;8;4;7552;1148263306904704;32;91.0;200;7731;1;1;1;2
67;853553;2019;4;30;9;0;7731;1148263306904704;32;91.0;200;7731;1;1;1;2
