;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;8778;2019;3;31;9;3;7732;1262516949633664;33;12.0;85;7757;0;1;6;1
1;16314;2019;3;11;13;5;7542;1263823154400896;33;12.0;85;7756;0;1;0;1
2;16315;2019;3;12;13;5;7542;1263823154400896;33;12.0;85;7757;0;1;1;1
3;18461;2019;3;12;10;0;7749;1264588201149568;33;12.0;84;7757;0;1;1;1
4;21993;2019;3;26;9;1;7745;1264913272167040;33;82.0;85;7757;0;1;1;1
5;21994;2019;3;27;9;1;7745;1264913272167040;33;82.0;85;7757;0;1;2;1
6;25605;2019;3;15;9;0;7739;1260486507381888;33;12.0;200;7757;0;1;4;1
7;110302;2019;3;12;18;0;7745;1229663949899904;33;12.0;76;7757;0;1;1;1
8;160670;2018;12;3;9;1;2247;1130683465353856;33;11.0;84;7760;0;1;0;4
9;160671;2018;12;10;9;0;7739;1130683465353856;33;42.0;84;7757;1;1;0;4
10;160672;2018;12;12;9;0;7739;1130683465353856;33;82.0;84;7757;0;1;2;4
11;160673;2018;12;18;9;0;7739;1130683465353856;33;12.0;84;7757;0;1;1;4
12;162151;2018;12;26;9;0;7731;1132865711393408;33;42.0;85;7757;0;0;2;4
13;162152;2018;12;31;8;5;7737;1132865711393408;33;12.0;85;7757;1;0;0;4
14;209830;2019;3;12;6;2;7747;1169273071683712;33;12.0;79;7757;0;1;1;1
15;209833;2019;3;14;6;2;7747;1169273071683712;33;12.0;79;7757;0;1;3;1
16;225013;2019;3;11;9;4;7732;1172693080884352;33;12.0;84;7756;0;1;0;1
17;229674;2019;3;14;9;0;7740;1173685218329728;33;82.0;76;7757;0;1;3;1
18;255339;2019;3;11;10;1;7746;1179292027542656;33;12.0;200;7757;0;1;0;1
19;259881;2019;3;24;18;3;7739;1180354894188160;33;12.0;76;7757;0;1;6;1
20;266992;2019;3;3;17;3;7772;1182261591232128;33;11.0;76;7785;0;1;6;1
21;266993;2019;3;7;9;1;7744;1182261591232128;33;42.0;76;7757;0;0;3;1
22;267150;2019;3;13;16;5;7772;1182261591232128;33;11.0;76;7785;0;1;2;1
23;273404;2019;3;11;12;2;7747;1183405662621568;33;22.0;200;7757;0;1;0;1
24;273988;2019;3;12;8;5;7563;1183536527722624;33;81.0;23;2247;0;1;1;1
25;273989;2019;3;13;9;0;7740;1183536527722624;33;12.0;23;7757;0;1;2;1
26;278190;2019;3;11;17;1;7531;1184507319963264;33;11.0;200;7534;0;1;0;1
27;278192;2019;3;14;13;2;7531;1184507319963264;33;11.0;200;7786;0;1;3;1
28;283180;2019;3;11;10;1;7748;1185495301114496;33;12.0;85;7757;0;1;0;1
29;307493;2019;3;14;9;0;7740;1190980643278464;33;82.0;200;7757;0;1;3;1
30;307494;2019;3;15;9;0;7739;1190980643278464;33;12.0;200;7757;0;1;4;1
31;308450;2019;3;11;9;0;7739;1190980643278464;33;12.0;200;7757;0;1;0;1
32;323552;2019;3;20;9;1;7747;1193600436817536;33;42.0;200;7757;0;1;2;1
33;323553;2019;3;29;9;1;7747;1193600436817536;33;82.0;200;7757;0;1;4;1
34;342028;2019;3;4;9;1;7745;1197568991054464;33;42.0;84;7757;0;1;0;1
