;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;200;2018;1;2;6;1;4155;1196374987984512;311;12.0;76;4005;0;1;1;1
1;726;2018;1;3;7;4;4102;1225275825080960;311;12.0;76;2625;0;1;2;1
2;976;2018;1;4;6;1;5090;1182030339785856;311;12.0;89;4537;1;1;3;1
3;1911;2018;1;4;5;5;4360;1270484650838656;311;12.0;76;4039;1;1;3;1
4;1915;2018;1;4;6;1;5090;1248438581546624;311;12.0;200;4005;1;1;3;1
5;2201;2018;1;5;6;0;5090;1248438581546624;311;12.0;200;4005;1;1;4;1
6;2281;2018;1;5;5;2;5090;1208422913819776;311;12.0;89;2625;1;1;4;1
7;3064;2018;1;8;6;4;4161;1241772255432320;311;12.0;76;4005;0;0;0;1
8;3087;2018;1;8;7;0;4361;1259201771752064;311;12.0;76;4100;0;0;0;1
9;3120;2018;1;8;7;4;4975;1184794015781248;311;12.0;76;4005;0;0;0;1
10;3764;2018;1;8;6;2;5090;1237525071809152;311;12.0;76;4005;0;0;0;1
11;3765;2018;1;8;6;3;4102;1222119021956736;311;12.0;76;2625;0;0;0;1
12;4269;2018;1;9;6;1;4102;1157089464697984;311;12.0;76;4005;0;0;1;1
13;4273;2018;1;9;6;3;4158;1214464853364352;311;12.0;76;4005;0;0;1;1
14;4281;2018;1;9;6;5;4102;1233109442775680;311;12.0;76;4009;0;0;1;1
15;4293;2018;1;9;7;0;4163;1145083546717824;311;12.0;76;4008;0;0;1;1
16;4842;2018;1;10;6;2;4102;1180328992328320;311;12.0;76;4005;0;1;2;1
17;4850;2018;1;10;6;4;4102;1288897175636608;311;12.0;76;4005;0;1;2;1
18;4950;2018;1;10;7;5;4155;1267104243141248;311;12.0;76;4005;0;1;2;1
19;5526;2018;1;11;5;5;4161;1221006224935552;311;12.0;76;4005;1;1;3;1
20;5533;2018;1;11;6;2;4102;1180328992328320;311;12.0;76;2625;1;1;3;1
21;5554;2018;1;11;7;0;4163;1145083546717824;311;12.0;76;4008;1;1;3;1
22;5556;2018;1;11;7;0;4361;1259201771752064;311;12.0;76;4102;1;1;3;1
23;5940;2018;1;8;7;1;5090;1150444741938816;311;12.0;76;4005;0;0;0;1
