;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;6242;2019;3;6;10;1;4751;1261735263424128;358;12.0;200;4357;0;1;2;1
1;6243;2019;3;11;8;4;4751;1261735263424128;358;12.0;200;4357;0;1;0;1
2;6244;2019;3;14;10;2;4751;1261735263424128;358;12.0;200;4357;0;1;3;1
3;6490;2019;3;7;8;4;4755;1261713788587648;358;12.0;83;4755;0;0;3;1
4;6491;2019;3;8;8;4;4755;1261713788587648;358;12.0;83;4755;1;0;4;1
5;6492;2019;3;8;8;4;4755;1261713788587648;358;12.0;83;4755;1;0;4;1
6;6493;2019;3;12;8;4;4755;1261713788587648;358;12.0;83;4356;0;1;1;1
7;6494;2019;3;20;8;4;4755;1261713788587648;358;12.0;83;4357;0;1;2;1
8;6495;2019;3;21;8;4;4755;1261713788587648;358;12.0;83;4357;0;1;3;1
9;18043;2019;3;30;20;0;4744;1264575316247680;358;11.0;200;4744;0;1;5;1
10;19078;2019;3;11;13;0;4358;1264729392500352;358;11.0;85;4358;0;1;0;1
11;19274;2019;3;13;11;1;4753;1264729392500352;358;12.0;85;4357;0;1;2;1
12;19275;2019;3;18;8;4;4753;1264729392500352;358;12.0;85;4357;0;1;0;1
13;29599;2019;3;11;15;5;4358;1266949624318592;358;11.0;84;4358;0;1;0;1
14;31083;2019;3;11;15;0;4760;1215504235449984;358;12.0;76;4357;0;1;0;1
15;35388;2019;3;7;10;1;4751;1268073300056704;358;12.0;84;4357;0;0;3;1
16;35389;2019;3;7;12;5;4358;1268073300056704;358;11.0;84;4750;0;0;3;1
17;35390;2019;3;14;10;1;4751;1268073300056704;358;12.0;84;4357;0;1;3;1
18;35391;2019;3;15;8;4;4751;1268073300056704;358;12.0;84;4356;0;1;4;1
19;35392;2019;3;18;10;1;4751;1268073300056704;358;12.0;84;4357;0;1;0;1
20;35393;2019;3;18;12;5;4358;1268073300056704;358;11.0;84;4750;0;1;0;1
21;35394;2019;3;18;14;5;4751;1268073300056704;358;12.0;84;4357;0;1;0;1
22;35478;2019;3;22;10;1;4751;1268073300056704;358;12.0;84;4357;0;1;4;1
23;35479;2019;3;23;14;4;4751;1268073300056704;358;12.0;84;4357;0;1;5;1
24;35480;2019;3;26;8;4;4751;1268073300056704;358;12.0;84;4357;0;1;1;1
25;35481;2019;3;28;8;4;4751;1268073300056704;358;12.0;84;4357;0;1;3;1
26;41127;2019;3;16;9;5;4358;1269146774296448;358;11.0;77;4746;1;1;5;1
27;41128;2019;3;16;14;4;4756;1269146774296448;358;12.0;77;4357;1;1;5;1
28;41129;2019;3;20;9;5;4358;1269146774296448;358;11.0;77;4746;0;1;2;1
29;41130;2019;3;20;14;5;4756;1269146774296448;358;12.0;77;4357;0;1;2;1
30;41131;2019;3;22;10;5;4358;1269146774296448;358;11.0;77;4746;0;1;4;1
31;41132;2019;3;22;16;1;4756;1269146774296448;358;12.0;77;4357;0;1;4;1
32;41133;2019;3;23;10;0;4358;1269146774296448;358;11.0;77;4746;0;1;5;1
33;41134;2019;3;23;16;1;4756;1269146774296448;358;12.0;77;4357;0;1;5;1
34;54670;2019;3;18;13;0;4739;1272606364682880;358;11.0;84;4739;0;1;0;1
35;73340;2019;3;7;8;4;4755;1277983663737472;358;12.0;200;4357;0;0;3;1
36;73341;2019;3;22;8;4;4755;1277983663737472;358;12.0;200;4357;0;1;4;1
37;73342;2019;3;28;8;4;4755;1277983663737472;358;12.0;200;4357;0;1;3;1
38;83325;2019;3;9;11;0;4742;1280200269515392;358;11.0;84;4750;0;0;5;1
39;83326;2019;3;16;11;0;4742;1280200269515392;358;11.0;84;4742;1;1;5;1
40;83327;2019;3;23;11;0;4742;1280200269515392;358;11.0;84;4750;0;1;5;1
41;92051;2019;3;7;8;4;4754;1226285540593280;358;12.0;200;4357;0;0;3;1
42;92052;2019;3;11;8;4;4754;1226285540593280;358;12.0;200;4357;0;1;0;1
43;92053;2019;3;14;8;4;4754;1226285540593280;358;12.0;200;4357;0;1;3;1
44;98012;2019;3;14;10;1;4751;1285723192643200;358;12.0;85;4357;0;1;3;1
45;98013;2019;3;20;10;1;4751;1285723192643200;358;12.0;85;4357;0;1;2;1
46;98427;2019;3;19;8;4;4751;1227457673386624;358;12.0;200;4357;0;1;1;1
47;98428;2019;3;19;10;5;4358;1227457673386624;358;11.0;200;4358;0;1;1;1
48;98429;2019;3;19;10;5;4358;1227457673386624;358;11.0;200;4358;0;1;1;1
49;104634;2019;3;12;8;3;4358;1228617315211136;358;11.0;200;4750;0;1;1;1
50;123850;2019;3;4;14;5;4758;1297806417352320;358;12.0;85;4357;0;1;0;1
51;128553;2019;3;11;13;0;4739;1233132394268800;358;11.0;41;4750;0;1;0;1
52;144428;2019;3;17;14;3;4358;1236063041246848;358;11.0;200;4358;0;1;6;1
53;145494;2019;3;17;14;5;4760;1236111891189376;358;12.0;84;4357;0;1;6;1
54;145495;2019;3;27;10;2;4760;1236111891189376;358;12.0;84;4760;0;1;2;1
55;170035;2018;12;12;12;5;4358;1137276237991552;358;11.0;200;4358;0;1;2;4
56;170036;2018;12;20;8;5;4756;1137276237991552;358;12.0;200;4756;0;1;3;4
57;170037;2018;12;20;8;5;4756;1137276237991552;358;12.0;200;4357;0;1;3;4
58;172644;2018;12;1;6;5;4751;1138324752581760;358;12.0;85;4357;0;1;5;4
59;172645;2018;12;7;6;5;4751;1138324752581760;358;12.0;85;4357;0;0;4;4
60;172646;2018;12;20;8;4;4751;1138324752581760;358;12.0;85;4357;0;1;3;4
61;172647;2018;12;24;8;4;4751;1138324752581760;358;12.0;85;4357;1;0;0;4
62;172648;2018;12;26;8;4;4751;1138324752581760;358;12.0;85;4357;0;0;2;4
