;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;4798584;2019;2;18;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;0;1
1;5026360;2019;2;11;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;0;1
2;5055064;2019;2;12;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;1;1
3;5287644;2019;2;25;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;0;1
4;5374248;2019;2;28;14;4;9387;1168920750147712;310;541.0;200;2625;0;1;3;1
5;5593264;2019;3;29;15;0;9386;1286822437997184;310;541.0;200;2625;0;1;4;1
6;5620607;2019;4;2;14;4;9386;1286822437997184;310;541.0;200;2625;0;1;1;2
7;5722128;2019;4;15;14;0;9386;1286822437997184;310;541.0;200;2625;1;1;0;2
8;6033375;2019;5;13;14;0;9387;1264836900900480;310;541.0;200;2625;1;1;0;2
9;6033611;2019;5;13;14;4;9387;1276981592152192;310;541.0;76;1282;1;1;0;2
10;6305963;2019;4;22;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;0;2
11;6305964;2019;4;22;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;0;2
12;6356290;2019;4;24;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;2;2
13;6709569;2019;6;27;13;4;9385;1170247760105088;310;541.0;200;1282;1;0;3;2
14;6760339;2019;7;9;14;5;9387;1276981592152192;310;541.0;76;1282;1;0;1;3
15;6763472;2019;5;14;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;1;2
16;6789479;2019;5;17;15;0;9386;1286822437997184;310;541.0;200;2625;1;1;4;2
17;6840867;2019;7;11;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;3;3
18;6866698;2019;7;16;14;1;9385;1264836900900480;310;541.0;200;2625;1;0;1;3
19;6972317;2019;7;31;14;1;9385;1170247760105088;310;541.0;200;1282;0;0;2;3
20;7415218;2019;6;17;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;0;2
21;7526948;2019;6;26;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;2;2
22;7614428;2019;7;9;13;4;9385;1170247760105088;310;541.0;200;1282;1;0;1;3
23;7715389;2019;7;15;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;0;3
24;7842229;2019;7;26;15;4;9387;1264836900900480;310;541.0;200;2625;0;0;4;3
25;8282938;2019;2;8;14;0;9387;1168920750147712;310;541.0;200;2625;0;0;4;1
26;8325271;2019;2;11;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;0;1
27;8383818;2019;2;14;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;3;1
28;8667102;2019;3;4;15;4;9387;1264836900900480;310;541.0;200;2625;0;1;0;1
29;8728260;2019;3;11;14;2;9386;1286822437997184;310;541.0;200;2625;0;1;0;1
30;9071205;2019;4;5;14;5;9387;1276981592152192;310;541.0;76;1282;1;1;4;2
31;9427620;2019;4;26;15;0;9386;1286822437997184;310;541.0;200;2625;0;1;4;2
32;9621527;2019;5;7;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;1;2
33;9671480;2019;5;9;14;2;9386;1208799521491072;310;541.0;200;2625;0;0;3;2
34;9957682;2019;5;23;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;3;2
35;10158386;2019;6;6;13;4;9386;1286822437997184;310;541.0;200;2625;0;1;3;2
36;10173313;2019;2;19;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;1;1
37;10177576;2019;2;20;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;2;1
38;10252667;2019;2;28;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;3;1
39;10297935;2019;2;12;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;1;1
40;10349570;2019;2;19;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;1;1
41;10355554;2019;6;19;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;2;2
42;10369769;2019;2;21;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;3;1
43;10373907;2019;2;22;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;4;1
44;10457894;2019;7;2;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;1;3
45;10469193;2019;7;3;14;5;9387;1276981592152192;310;541.0;76;1282;1;1;2;3
46;10564340;2019;2;21;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;3;1
47;10584882;2019;7;4;13;4;9385;1170247760105088;310;541.0;200;1282;0;1;3;3
48;10631278;2019;2;25;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;0;1
49;10672245;2019;2;26;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;1;1
50;10688592;2019;2;7;14;0;9387;1264836900900480;310;541.0;200;2625;0;0;3;1
51;10698119;2019;3;28;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;3;1
52;10705023;2019;3;14;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;3;1
53;10714400;2019;2;27;14;0;9181;1168920750147712;310;541.0;200;2625;0;1;2;1
54;10794956;2019;2;11;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;0;1
55;10804726;2019;3;6;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;2;1
56;10843349;2019;3;12;14;2;9387;1208799521491072;310;541.0;200;2625;0;1;1;1
57;10851259;2019;3;13;14;0;9385;1264836900900480;310;541.0;200;2625;0;1;2;1
58;10873502;2019;2;14;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;3;1
59;10876021;2019;4;11;14;4;5090;1286822437997184;310;11.0;200;2625;0;1;3;2
60;10883612;2019;2;15;14;0;9387;1168920750147712;310;541.0;200;2625;0;1;4;1
61;10977125;2019;3;21;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;3;1
62;11005015;2019;2;25;14;0;9387;1208799521491072;310;541.0;200;2625;0;1;0;1
63;11036569;2019;2;22;15;4;9387;1264836900900480;310;541.0;200;2625;0;1;4;1
64;11053496;2019;2;27;14;0;9181;1208799521491072;310;541.0;200;2625;0;1;2;1
65;11107587;2019;7;16;14;5;9387;1276981592152192;310;541.0;76;1282;1;0;1;3
66;11116436;2019;3;1;14;0;9387;1168920750147712;310;541.0;200;2625;0;0;4;1
67;11138310;2019;7;18;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;3;3
68;11181269;2019;4;3;14;0;9387;1208799521491072;310;541.0;200;2625;1;1;2;2
69;11193162;2019;3;4;13;4;9387;1208799521491072;310;541.0;200;2625;0;1;0;1
70;11257935;2019;4;30;14;0;9387;1208799521491072;310;541.0;200;2625;1;1;1;2
71;11357759;2019;4;10;15;2;9386;1286822437997184;310;541.0;200;2625;0;1;2;2
72;11431554;2019;4;3;14;5;9386;1286822437997184;310;541.0;200;2625;1;1;2;2
73;11431555;2019;4;3;14;5;9387;1276981592152192;310;541.0;76;1282;1;1;2;2
74;11436544;2019;5;6;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;0;2
75;11458912;2019;4;12;14;4;9386;1286822437997184;310;541.0;200;2625;0;1;4;2
76;11468704;2019;3;18;14;0;9387;1264836900900480;310;541.0;200;2625;0;1;0;1
77;11509616;2019;5;9;14;0;9386;1286822437997184;310;541.0;200;2625;0;0;3;2
78;11511142;2019;5;9;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;3;2
79;11521682;2019;3;20;14;0;9385;1264836900900480;310;541.0;200;2625;0;1;2;1
80;11542427;2019;4;9;15;0;9386;1286822437997184;310;541.0;200;2625;0;0;1;2
81;11564330;2019;3;21;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;3;1
82;11570032;2019;8;21;13;4;9385;1170247760105088;310;541.0;200;1282;0;0;2;3
83;11589607;2019;8;22;13;4;9385;1170247760105088;310;541.0;200;1282;0;0;3;3
84;11652822;2019;4;16;13;4;9181;1208799521491072;310;541.0;200;2625;1;1;1;2
85;11662331;2019;4;8;14;0;9386;1286822437997184;310;541.0;200;2625;1;0;0;2
86;11705477;2019;4;1;14;0;9387;1208799521491072;310;541.0;200;2549;0;0;0;2
87;11705478;2019;4;1;14;0;9387;1264836900900480;310;541.0;200;2625;0;0;0;2
88;11780142;2019;4;4;14;0;9386;1286822437997184;310;541.0;200;2625;0;1;3;2
89;11815533;2019;6;3;15;4;9386;1286822437997184;310;541.0;200;2625;1;1;0;2
90;11871288;2019;4;9;14;0;9387;1208799521491072;310;541.0;200;2625;0;0;1;2
91;11883517;2019;5;2;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;3;2
92;11923707;2019;4;17;14;0;9386;1286822437997184;310;541.0;200;2625;1;1;2;2
93;12020736;2019;4;30;13;4;9385;1264836900900480;310;541.0;200;2625;1;1;1;2
94;12069340;2019;6;18;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;1;2
95;12132095;2019;5;8;14;4;9387;1276981592152192;310;541.0;76;1282;0;0;2;2
96;12148323;2019;6;21;14;4;9387;1276981592152192;310;541.0;76;1282;0;1;4;2
