;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;15337;2019;3;26;7;3;2214;1263739138560384;127;61.0;76;7029;0;1;1;1
1;15739;2019;3;1;7;3;2201;1263913078185344;127;61.0;76;2246;0;0;4;1
2;15740;2019;3;4;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;0;1
3;15741;2019;3;6;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;2;1
4;15742;2019;3;7;7;2;1144;1263913078185344;127;61.0;76;2246;0;0;3;1
5;15743;2019;3;8;7;2;1146;1263913078185344;127;61.0;76;2246;1;0;4;1
6;15744;2019;3;11;7;2;1144;1263913078185344;127;61.0;76;2246;0;1;0;1
7;15745;2019;3;12;7;2;2203;1263913078185344;127;61.0;76;2246;0;1;1;1
8;15746;2019;3;14;7;3;2201;1263913078185344;127;61.0;76;2246;0;1;3;1
9;15747;2019;3;15;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;4;1
10;15748;2019;3;18;7;2;1141;1263913078185344;127;61.0;76;2246;0;1;0;1
11;15749;2019;3;25;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;0;1
12;15750;2019;3;27;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;2;1
13;15751;2019;3;29;7;2;2201;1263913078185344;127;61.0;76;2246;0;1;4;1
14;29647;2019;3;12;12;3;2269;1215409878093440;127;72.0;200;9413;0;1;1;1
15;39770;2019;3;20;15;3;1150;1269067309469312;127;62.0;200;1150;0;1;2;1
16;40101;2019;3;1;13;0;2773;1269225686388352;127;11.0;85;2244;0;0;4;1
17;40104;2019;3;6;13;0;2773;1269225686388352;127;11.0;85;2244;0;1;2;1
18;40105;2019;3;15;12;5;2773;1269225686388352;127;11.0;85;2773;0;1;4;1
19;70475;2019;3;13;8;1;2244;1276995284388480;127;61.0;200;2246;0;1;2;1
20;80061;2019;3;3;16;1;1128;1224111349911168;127;11.0;84;7029;0;1;6;1
