;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;3772;2018;1;8;6;5;4323;1289034612428416;344;12.0;76;4280;0;0;0;1
1;3782;2018;1;8;7;0;4269;1218390455634560;344;12.0;76;4143;0;0;0;1
2;4856;2018;1;10;6;5;4323;1289034612428416;344;12.0;76;4143;0;1;2;1
3;4872;2018;1;10;7;1;4279;1179014195464832;344;12.0;76;5169;0;1;2;1
4;4932;2018;1;10;7;2;4009;1281209184176768;344;12.0;76;4096;0;1;2;1
5;10881;2018;1;8;7;1;4276;1179014195464832;344;12.0;76;4009;0;0;0;1
6;12401;2018;1;9;7;1;4279;1179014195464832;344;12.0;76;4009;0;0;1;1
7;14281;2018;1;16;6;5;4323;1161542803213952;344;12.0;76;4279;0;1;1;1
8;14371;2018;1;11;7;2;4009;1281209184176768;344;12.0;76;4097;1;1;3;1
9;15552;2018;1;17;7;1;4936;1179014195464832;344;12.0;76;4009;1;1;2;1
10;16941;2018;1;18;7;0;4269;1221763082241152;344;12.0;76;4009;1;1;3;1
11;16958;2018;1;18;7;2;4009;1281209184176768;344;12.0;76;4097;1;1;3;1
12;17043;2018;1;12;7;2;4009;1130597968661120;344;12.0;76;4096;0;1;4;1
13;20341;2018;1;12;7;0;4269;1221763082241152;344;12.0;76;5169;0;1;4;1
14;20543;2018;1;22;7;0;4269;1204355039382144;344;12.0;76;4274;0;1;0;1
15;21201;2018;1;15;7;2;5169;1281209184176768;344;12.0;76;4096;0;1;0;1
16;21932;2018;1;23;7;1;4279;1179014195464832;344;12.0;76;5169;0;1;1;1
17;23691;2018;1;24;7;2;4009;1281209184176768;344;12.0;76;4095;0;1;2;1
18;24442;2018;1;19;7;0;4269;1221763082241152;344;12.0;76;4009;0;1;4;1
19;26858;2018;1;15;7;1;4279;1179014195464832;344;12.0;76;5169;0;1;0;1
20;28621;2018;1;19;6;5;4323;1289034612428416;344;12.0;76;4009;0;1;4;1
21;29210;2018;1;16;7;1;4279;1179014195464832;344;12.0;76;4009;0;1;1;1
22;30507;2018;1;22;7;0;4269;1221763082241152;344;12.0;76;4009;0;1;0;1
23;32314;2018;1;23;6;5;4265;1234977619331712;344;12.0;76;5169;0;1;1;1
24;32322;2018;1;23;7;0;4269;1204355039382144;344;12.0;76;4276;0;1;1;1
25;32715;2018;1;24;7;0;4269;1221763082241152;344;12.0;76;4009;0;1;2;1
26;33598;2018;1;22;6;5;4323;1289034612428416;344;12.0;76;4009;0;1;0;1
27;34012;2018;1;26;6;5;4323;1289034612428416;344;12.0;76;4009;0;1;4;1
28;34897;2018;1;24;6;5;4323;1161542803213952;344;12.0;76;4279;0;1;2;1
29;34913;2018;1;24;7;1;4009;1177073947526272;344;12.0;76;4095;0;1;2;1
30;36250;2018;1;29;7;0;4269;1204355039382144;344;12.0;76;4274;1;1;0;1
31;36669;2018;1;30;7;2;4009;1281209184176768;344;12.0;76;4097;0;1;1;1
32;37065;2018;1;31;7;2;4009;1130597968661120;344;12.0;76;4097;0;1;2;1
33;37495;2018;2;1;7;2;4009;1130597968661120;344;12.0;76;4097;0;0;3;1
34;38646;2018;1;17;6;5;4323;1289034612428416;344;12.0;76;4009;1;1;2;1
35;38658;2018;1;17;7;0;4269;1221763082241152;344;12.0;76;4009;1;1;2;1
36;38669;2018;1;17;7;1;4009;1177073947526272;344;12.0;76;4091;1;1;2;1
37;39554;2018;1;25;7;1;4279;1179014195464832;344;12.0;76;4009;0;1;3;1
38;40829;2018;1;8;7;0;4269;1204355039382144;344;12.0;76;4274;0;0;0;1
39;41249;2018;1;9;6;5;4323;1289034612428416;344;12.0;76;4143;0;0;1;1
40;41282;2018;1;9;7;2;4009;1281209184176768;344;12.0;76;4096;0;0;1;1
41;43585;2018;2;5;6;5;4323;1219821757023360;344;12.0;76;4009;1;1;0;1
42;45532;2018;2;9;6;5;4323;1161542803213952;344;12.0;76;4009;1;0;4;1
43;45533;2018;2;9;6;5;4323;1289034612428416;344;12.0;76;4009;1;0;4;1
44;45983;2018;1;26;6;5;4265;1234977619331712;344;12.0;76;4009;0;1;4;1
45;46798;2018;1;29;6;5;4323;1161542803213952;344;12.0;76;4279;1;1;0;1
46;46822;2018;1;29;7;2;4009;1130597968661120;344;12.0;76;4092;1;1;0;1
