;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;5452;2019;3;16;13;2;4358;1261635140541568;360;41.0;200;4358;1;1;5;1
1;5453;2019;3;22;13;2;4358;1261635140541568;360;41.0;200;4358;0;1;4;1
2;5454;2019;3;22;13;2;4358;1261635140541568;360;41.0;200;4358;0;1;4;1
3;5455;2019;3;22;17;3;4619;1261635140541568;360;42.0;200;4357;0;1;4;1
4;5652;2019;3;5;16;0;4620;1261391668202112;360;12.0;200;4357;0;1;1;1
5;5653;2019;3;11;10;2;4620;1261391668202112;360;12.0;200;4357;0;1;0;1
6;5654;2019;3;12;10;3;4620;1261391668202112;360;12.0;200;4357;0;1;1;1
7;5655;2019;3;18;14;4;4358;1261391668202112;360;11.0;200;4358;0;1;0;1
8;5656;2019;3;22;10;2;4620;1261391668202112;360;12.0;200;4357;0;1;4;1
9;5657;2019;3;27;10;2;4620;1261391668202112;360;12.0;200;4357;0;1;2;1
10;5658;2019;3;30;10;2;4620;1261391668202112;360;12.0;200;4357;0;1;5;1
11;17762;2019;3;7;14;0;4619;1264549006035584;360;42.0;200;4357;0;0;3;1
12;20732;2019;3;7;17;3;4626;1264802409106048;360;42.0;76;4357;0;0;3;1
13;26830;2019;3;21;15;5;4608;1266088757581696;360;12.0;76;4357;0;1;3;1
14;30788;2019;3;19;16;1;4628;1267085192093056;360;12.0;76;4357;0;1;1;1
15;30789;2019;3;20;8;1;4628;1267085192093056;360;12.0;76;4628;0;1;2;1
16;30790;2019;3;20;16;0;4628;1267085192093056;360;12.0;76;4357;0;1;2;1
17;30791;2019;3;21;8;1;4628;1267085192093056;360;12.0;76;4357;0;1;3;1
18;30792;2019;3;21;17;3;4628;1267085192093056;360;42.0;76;4356;0;1;3;1
19;30793;2019;3;22;8;1;4628;1267085192093056;360;12.0;76;4357;0;1;4;1
20;30796;2019;3;25;14;4;4358;1267085192093056;360;11.0;76;4739;0;1;0;1
21;30800;2019;3;28;8;1;4628;1267085192093056;360;12.0;76;4357;0;1;3;1
22;30801;2019;3;28;13;2;4358;1267085192093056;360;41.0;76;4358;0;1;3;1
23;31078;2019;3;1;8;1;4628;1267085192093056;360;12.0;76;4357;0;0;4;1
24;31079;2019;3;2;9;2;4358;1267085192093056;360;11.0;76;4358;0;1;5;1
25;31080;2019;3;11;13;3;4739;1267085192093056;360;41.0;76;4580;0;1;0;1
26;31081;2019;3;15;18;3;4739;1267085192093056;360;11.0;76;4739;0;1;4;1
27;31767;2019;3;31;11;4;4358;1267085192093056;360;11.0;76;4358;0;1;6;1
28;31905;2019;3;16;19;3;4628;1267085192093056;360;12.0;76;4357;1;1;5;1
29;31909;2019;3;18;8;1;4628;1267085192093056;360;12.0;76;4356;0;1;0;1
30;31910;2019;3;18;11;4;4739;1267085192093056;360;11.0;76;4580;0;1;0;1
31;31911;2019;3;18;16;0;4628;1267085192093056;360;12.0;76;4357;0;1;0;1
32;31912;2019;3;19;8;1;4628;1267085192093056;360;12.0;76;4357;0;1;1;1
33;40293;2019;3;12;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;1;1
34;40294;2019;3;13;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;2;1
35;40295;2019;3;18;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;0;1
36;40296;2019;3;19;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;1;1
37;40297;2019;3;21;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;3;1
38;40298;2019;3;25;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;0;1
39;40299;2019;3;26;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;1;1
40;40300;2019;3;28;14;1;4762;1269140864456576;360;42.0;76;4357;0;1;3;1
41;52504;2019;3;23;13;2;4358;1271600803303040;360;41.0;200;4358;0;1;5;1
42;54072;2019;3;5;7;5;4605;1270093808814720;360;12.0;84;4357;0;1;1;1
43;54073;2019;3;7;7;5;4605;1270093808814720;360;12.0;84;4357;0;0;3;1
44;54074;2019;3;13;7;5;4605;1270093808814720;360;12.0;84;4357;0;1;2;1
45;92148;2019;3;25;10;2;4620;1283467930585216;360;12.0;76;4357;0;1;0;1
46;99323;2019;3;1;14;4;4739;1286618968840832;360;11.0;76;4594;0;0;4;1
47;99324;2019;3;4;11;4;4739;1286618968840832;360;11.0;76;4358;0;1;0;1
48;99326;2019;3;9;12;3;4613;1286618968840832;360;12.0;76;4357;0;0;5;1
49;99328;2019;3;11;7;2;4613;1286618968840832;360;52.0;76;4356;0;1;0;1
50;99329;2019;3;11;14;4;4739;1286618968840832;360;11.0;76;4594;0;1;0;1
51;99330;2019;3;11;15;5;4613;1286618968840832;360;12.0;76;4356;0;1;0;1
52;99331;2019;3;12;7;2;4613;1286618968840832;360;52.0;76;4356;0;1;1;1
53;99332;2019;3;13;10;2;4613;1286618968840832;360;12.0;76;4356;0;1;2;1
54;99333;2019;3;14;8;0;4613;1286618968840832;360;12.0;76;4356;0;1;3;1
55;99334;2019;3;15;7;2;4613;1286618968840832;360;52.0;76;4357;0;1;4;1
56;99336;2019;3;18;7;2;4613;1286618968840832;360;52.0;76;4356;0;1;0;1
57;99337;2019;3;19;7;2;4613;1286618968840832;360;52.0;76;4357;0;1;1;1
58;99338;2019;3;20;10;2;4613;1286618968840832;360;12.0;76;4356;0;1;2;1
59;99339;2019;3;21;7;2;4613;1286618968840832;360;52.0;76;4356;0;1;3;1
60;99340;2019;3;22;7;2;4613;1286618968840832;360;52.0;76;4356;0;1;4;1
