;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;28949;2019;3;14;10;4;1802;1266110497378688;52;11.0;200;1809;0;1;3;1
1;61307;2019;3;21;9;1;1800;1274561117378432;52;11.0;76;1351;0;1;3;1
2;64339;2019;3;13;9;2;1800;1274561117378432;52;11.0;76;1352;0;1;2;1
3;66280;2019;3;11;9;2;1801;1275761151597184;52;11.0;200;1801;0;1;0;1
4;114163;2019;3;19;9;1;1795;1292203763583616;52;11.0;85;1352;0;1;1;1
5;153768;2019;5;13;9;1;1188;1174460052953728;52;11.0;200;1352;1;1;0;2
6;164828;2018;12;20;9;1;1795;1135143922326144;52;11.0;83;1801;0;1;3;4
7;172402;2019;3;4;9;2;1800;1159214938413952;52;11.0;200;1800;0;1;0;1
8;249134;2019;3;4;9;0;1183;1177960045239680;52;11.0;77;1185;0;1;0;1
9;249136;2019;3;6;9;0;1183;1177960045239680;52;11.0;77;1185;0;1;2;1
10;257624;2019;3;15;10;3;1723;1179912244121216;52;11.0;85;1797;0;1;4;1
11;257625;2019;3;26;9;1;1797;1179912244121216;52;11.0;85;1352;0;1;1;1
12;281174;2019;3;8;10;2;2625;1184789319014016;52;11.0;76;1188;1;0;4;1
13;305633;2019;3;15;10;4;1797;1190271302585984;52;11.0;84;1352;0;1;4;1
14;385389;2019;3;1;9;1;1794;1149391803862656;52;11.0;76;1352;0;0;4;1
15;433622;2019;3;13;9;1;1795;1213150595533440;52;11.0;84;1352;0;1;2;1
16;493844;2019;3;1;9;1;1795;1224275495898752;52;11.0;73;1352;0;0;4;1
17;493845;2019;3;4;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;0;1
18;493846;2019;3;6;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;2;1
19;493847;2019;3;8;9;1;1795;1224275495898752;52;11.0;73;1352;1;0;4;1
20;493848;2019;3;12;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;1;1
21;493849;2019;3;13;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;2;1
22;493850;2019;3;14;9;2;1795;1224275495898752;52;11.0;73;1352;0;1;3;1
23;493851;2019;3;15;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;4;1
24;493852;2019;3;18;9;3;1795;1224275495898752;52;11.0;73;1352;0;1;0;1
25;493853;2019;3;19;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;1;1
26;493854;2019;3;21;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;3;1
27;493855;2019;3;22;9;1;1795;1224275495898752;52;11.0;73;1352;0;1;4;1
