;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;58464;2019;3;29;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;4;1
1;58929;2019;3;28;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;3;1
2;59153;2019;3;11;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;0;1
3;59154;2019;3;12;6;5;4705;1273621323734400;392;12.0;76;4490;0;1;1;1
4;59155;2019;3;13;6;5;4705;1273621323734400;392;12.0;76;4490;0;1;2;1
5;59156;2019;3;18;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;0;1
6;59157;2019;3;20;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;2;1
7;59158;2019;3;22;6;4;4705;1273621323734400;392;12.0;76;4490;0;1;4;1
8;69433;2019;3;13;7;0;4713;1276824154623616;392;12.0;76;4490;0;1;2;1
9;69563;2019;3;27;6;5;4713;1276824154623616;392;12.0;76;4490;0;1;2;1
10;73079;2019;3;21;6;4;4706;1223058548344960;392;12.0;23;4490;0;1;3;1
11;73081;2019;3;25;6;5;4706;1223058548344960;392;12.0;23;4490;0;1;0;1
12;73082;2019;3;26;6;4;4706;1223058548344960;392;12.0;23;4490;0;1;1;1
13;73083;2019;3;27;6;4;4706;1223058548344960;392;12.0;23;4490;0;1;2;1
14;73084;2019;3;28;6;4;4706;1223058548344960;392;12.0;23;4490;0;1;3;1
15;73085;2019;3;29;6;4;4706;1223058548344960;392;12.0;23;4490;0;1;4;1
16;94490;2019;3;12;7;1;4717;1284407060683392;392;12.0;76;4490;0;1;1;1
17;165726;2018;12;4;6;5;4710;1136039021136512;392;12.0;76;4490;0;1;1;4
18;165728;2018;12;18;6;5;4710;1136039021136512;392;12.0;76;4490;0;1;1;4
19;165729;2018;12;21;6;5;4710;1136039021136512;392;12.0;76;4710;0;1;4;4
20;184110;2019;3;12;6;5;4705;1162401261963904;392;12.0;76;4490;0;1;1;1
