;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;3469;2019;3;16;10;3;2118;1261397845366400;56;12.0;81;2717;1;1;5;1
1;10277;2019;3;21;11;0;2109;1262752641734528;56;12.0;76;2717;0;1;3;1
2;10278;2019;3;22;12;0;2110;1262752641734528;56;12.0;76;2717;0;1;4;1
3;10280;2019;3;30;16;4;2110;1262752641734528;56;12.0;76;2717;0;1;5;1
4;15666;2019;3;23;9;4;2625;1263832951771008;56;11.0;200;2100;0;1;5;1
5;19160;2019;3;13;16;5;2424;1264683768503680;56;12.0;200;2424;0;1;2;1
6;19162;2019;3;20;18;4;2102;1264683768503680;56;11.0;200;2102;0;1;2;1
7;19747;2019;3;22;19;3;2625;1264683768503680;56;11.0;200;2625;0;1;4;1
8;22320;2019;3;11;16;4;1836;1265641936805248;56;12.0;77;2717;0;1;0;1
9;22323;2019;3;23;11;4;1837;1265641936805248;56;12.0;77;2717;0;1;5;1
10;34910;2019;3;18;9;4;2384;1268087384262784;56;12.0;76;2717;0;1;0;1
11;34911;2019;3;20;10;5;2384;1268087384262784;56;12.0;76;2717;0;1;2;1
12;34913;2019;3;21;10;5;2384;1268087384262784;56;12.0;76;2717;0;1;3;1
13;34915;2019;3;22;8;3;2384;1268087384262784;56;12.0;76;2717;0;1;4;1
14;34917;2019;3;25;12;4;2384;1268087384262784;56;12.0;76;2717;0;1;0;1
15;34918;2019;3;26;9;2;2384;1268087384262784;56;12.0;76;2717;0;1;1;1
16;34920;2019;3;27;11;4;2384;1268087384262784;56;12.0;76;2717;0;1;2;1
17;34923;2019;3;29;9;2;2384;1268087384262784;56;12.0;76;2119;0;1;4;1
18;35683;2019;3;8;10;4;1843;1216498652568960;56;11.0;77;2362;1;0;4;1
19;35685;2019;3;11;10;4;1843;1216498652568960;56;11.0;77;2362;0;1;0;1
20;35693;2019;3;15;10;4;1843;1216498652568960;56;11.0;77;1848;0;1;4;1
21;35694;2019;3;15;12;4;1848;1216498652568960;56;11.0;77;2362;0;1;4;1
22;35701;2019;3;20;10;4;1843;1216498652568960;56;11.0;77;2362;0;1;2;1
23;36478;2019;3;27;11;4;2384;1268171541731968;56;12.0;200;2384;0;1;2;1
24;39069;2019;3;10;13;5;2112;1269085836826240;56;12.0;76;2717;0;1;6;1
25;40138;2019;3;18;11;2;2096;1217407444994688;56;11.0;76;2362;0;1;0;1
26;40139;2019;3;18;13;4;2384;1217407444994688;56;12.0;76;2717;0;1;0;1
27;45788;2019;3;21;11;1;2115;1270319964904064;56;12.0;85;2717;0;1;3;1
28;48295;2019;3;25;8;0;2625;1270405463760000;56;11.0;200;2100;0;1;0;1
29;58703;2019;3;12;13;1;2625;1273693936637824;56;11.0;76;2625;0;1;1;1
30;58705;2019;3;15;19;3;2625;1273693936637824;56;11.0;76;2097;0;1;4;1
